Код в 1С, ,Толщина,Наименование,Размер листа,Упаковка,,,Цена,,,,Просчет,,,,Объем,,,,
,кг/м³,мм,-,мм,плит,м² ,м³,руб/упак,руб/лист,руб/м²,,Кв.м.,Кол-во уп,Сумма,,Листов,Итого м³,,,
,ЭППС,,,,,,,,,,,,,,,,,,,
НФ-00000383,21 кг/м3 ,20,"Пеноплекс Комфорт 20 мм/ 585 х 1185 / 0,69м2 (20 ПЛИТ / 13,86 м2 / 0,27 м3)",585х1185,20,"13,86","0,27",2 500 ₽,125 ₽,180 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000410,21 кг/м3 ,30,"Пеноплекс Комфорт 30 мм/ 585 х 1185 / 0,69 м2 (13 ПЛИТ / 9.01 м2 / 0,27 м3)",585х1185,13,"9,01","0,27",2 195 ₽,169 ₽,244 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000411,21 кг/м3 ,40,"Пеноплекс Комфорт 40 мм/ 585 х 1185 / 0,69 м2 (10 ПЛИТ / 6,9 м2 / 0,25 м3)",585х1185,10,"6,9","0,25",2 300 ₽,230 ₽,333 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000412,21 кг/м3 ,50,"Пеноплекс Комфорт 50 мм/ 585 х 1185 / 0,69м2 ( 7 ПЛИТ / 4,85 м2 / 0,24 м3)",585х1185,7,"4,85","0,24",2 156 ₽,308 ₽,445 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000413,21 кг/м3 ,100,"Пеноплекс Комфорт 100 мм/ 585 х 1185 / 0,69м2 ( 4 ПЛИТЫ / 2,77 м2 / 0,27 м3)",585х1185,4,"2,77","0,27",2 240 ₽,560 ₽,809 ₽,,0,"0,00",0 ₽,,0,0,,,0
,,,,,,,,,#DIV/0!,#DIV/0!,,0,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,
НФ-00000414,21 кг/м3 ,50,"Пеноплекс Стена 50 мм/ 585 х 1185 / 0,69м2 (7 ПЛИТ / 4,85 м2 / 0,24 м3)",585х1185,7,"4,85","0,24",2 240 ₽,320 ₽,462 ₽,,0,"0,00",0 ₽,,0,0,,,0
